A,E,H,F,B,G,C
F,1546.0,415.0,0.7035,645.0,365.0,515.0
M,1539.0,0.43,0.6405,645.0,0.3585,0.51
F,1318.0,335.0,0.55,645.0,0.3015,505.0
F,1.5245,495.0,0.59,0.65,326.0,545.0
M,1466.0,0.4,677.0,0.65,0.3045,515.0
F,1.3825,0.3195,702.0,0.65,304.0,0.5
M,1175.0,215.0,475.0,0.65,0.2435,485.0
F,1.5555,444.0,695.0,655.0,296.0,0.54
M,1.7835,0.4195,0.8885,655.0,0.4095,0.51
M,1374.0,345.0,589.0,0.66,351.0,505.0
F,1389.0,395.0,0.5945,665.0,324.0,515.0
M,1.7025,0.41,833.0,0.67,374.0,545.0
M,1.5265,345.0,651.0,0.67,0.4475,0.51
M,1519.0,415.0,616.0,0.67,388.0,0.5
F,1741.0,0.4685,0.7665,0.68,0.3255,0.5
M,1.6115,395.0,0.8415,0.68,306.0,515.0
M,1.7825,461.0,0.9165,0.69,0.3325,525.0
F,1684.0,0.32,0.7535,0.7,0.3265,0.55
M,1858.0,595.0,0.73,0.7,0.3665,555.0
M,1675.0,388.0,797.0,705.0,0.4095,0.56
M,2.1055,494.0,1017.0,0.72,363.0,565.0
M,2.21,0.5015,1351.0,725.0,413.0,575.0
M,1.8725,446.0,0.9115,0.74,427.0,0.57
M,1893.0,445.0,942.0,0.75,397.0,0.55
I,0.0475,13.0,19.0,0.21,11.0,0.17
I,101.0,0.0335,0.0415,285.0,17.0,0.21
I,121.0,0.0405,47.0,295.0,0.0155,215.0
I,117.0,0.0415,0.05,0.3,0.0175,0.23
I,0.1465,0.0415,63.0,305.0,34.0,225.0
I,168.0,0.05,79.0,335.0,0.0355,255.0
I,0.18,55.0,0.09,0.35,0.0245,0.26
I,0.1775,54.0,79.0,355.0,0.0315,0.27
I,0.1985,58.0,0.0715,355.0,0.0495,0.26
I,0.2,61.0,73.0,0.36,56.0,0.27
I,0.2205,66.0,0.0985,0.36,44.0,275.0
I,0.1845,55.0,83.0,0.36,0.0365,265.0
I,0.2225,66.0,0.0935,365.0,0.0525,0.27
I,0.2175,65.0,97.0,0.37,46.0,0.27
I,0.2165,0.07,0.0935,375.0,0.0925,0.28
I,243.0,75.0,0.0895,0.38,0.0665,285.0
I,237.0,82.0,108.0,0.38,0.0395,0.29
I,0.2365,76.0,0.1,385.0,0.0505,0.29
I,257.0,0.07,119.0,385.0,59.0,0.28
I,308.0,0.0835,0.1525,385.0,56.0,0.3
I,252.0,0.08,0.1065,0.39,53.0,0.3
I,281.0,77.0,0.1275,0.39,62.0,285.0
I,0.2225,73.0,95.0,0.39,0.0465,0.29
I,304.0,0.0955,129.0,0.41,71.0,0.3
I,0.28,75.0,141.0,0.41,0.0575,0.3
I,313.0,0.0965,139.0,415.0,0.0625,325.0
I,317.0,0.09,135.0,425.0,48.0,325.0
I,303.0,95.0,131.0,425.0,0.0585,315.0
I,0.3295,0.11,129.0,435.0,0.07,335.0
I,367.0,105.0,0.1595,435.0,0.08,325.0
I,0.3245,105.0,0.1385,0.45,64.0,0.34
I,0.4195,0.1345,181.0,0.45,85.0,335.0
I,457.0,147.0,0.2085,455.0,0.0855,0.36
I,0.4,0.1205,176.0,0.46,83.0,0.35
I,0.4255,0.13,0.2015,0.46,81.0,355.0
I,0.4365,147.0,188.0,465.0,0.0815,0.37
I,393.0,0.12,0.1825,465.0,0.0735,345.0
I,499.0,155.0,0.21,0.47,0.0985,355.0
I,0.6325,0.19,0.2825,475.0,137.0,0.36
M,0.4285,112.0,0.1965,475.0,99.0,0.36
I,0.4905,125.0,205.0,475.0,0.1305,0.36
I,474.0,175.0,179.0,0.48,0.1035,0.37
I,536.0,0.15,251.0,0.48,114.0,0.37
M,464.0,239.0,221.0,0.48,106.0,355.0
I,0.6025,0.16,0.2935,485.0,0.1285,375.0
I,0.4615,143.0,204.0,0.49,0.0945,375.0
I,624.0,169.0,0.3035,0.49,0.1285,0.4
I,0.4715,0.15,0.2075,495.0,91.0,0.37
I,602.0,0.19,0.2505,495.0,0.1265,0.4
I,616.0,0.1935,261.0,0.5,143.0,0.4
I,0.5955,173.0,0.2455,0.5,147.0,0.39
I,559.0,169.0,0.2375,0.5,135.0,375.0
I,0.6025,162.0,281.0,0.51,143.0,395.0
F,0.6065,0.15,0.3005,515.0,131.0,375.0
I,0.4725,138.0,0.1815,515.0,125.0,0.36
I,0.4745,0.1275,213.0,515.0,123.0,0.35
I,0.6635,0.17,0.32,515.0,0.14,395.0
I,0.5705,185.0,238.0,515.0,0.1265,0.39
I,646.0,165.0,0.2965,0.52,0.1595,0.41
I,0.5545,0.1895,0.2355,0.52,0.1095,0.39
M,845.0,0.2875,0.3525,525.0,0.1635,415.0
I,664.0,178.0,0.3115,525.0,147.0,0.39
I,615.0,175.0,261.0,525.0,159.0,0.38
I,654.0,169.0,305.0,525.0,0.16,0.4
M,707.0,225.0,282.0,525.0,0.1605,0.4
I,0.5965,177.0,0.2555,0.53,141.0,0.42
I,0.6255,0.2135,245.0,0.53,0.1455,0.43
I,555.0,195.0,0.1935,0.53,0.1305,0.4
I,0.8365,249.0,0.3745,0.53,167.0,0.42
I,657.0,175.0,0.2835,535.0,162.0,0.4
I,836.0,0.24,0.3725,0.54,0.1815,0.43
I,742.0,0.25,0.32,0.54,0.1395,425.0
I,0.8195,0.2295,0.3935,0.54,0.1725,0.43
M,972.0,269.0,419.0,0.54,255.0,455.0
I,0.6275,235.0,0.2505,0.54,0.1175,0.42
I,0.7205,225.0,0.2955,0.54,169.0,425.0
I,686.0,213.0,0.3475,0.54,0.1545,425.0
I,686.0,0.18,0.3285,545.0,0.1455,0.4
I,543.0,0.1725,0.2375,545.0,0.1155,375.0
I,717.0,0.22,358.0,545.0,112.0,0.42
M,0.7625,259.0,327.0,0.55,0.1685,435.0
I,639.0,217.0,269.0,0.55,0.1345,425.0
I,816.0,0.23,0.3995,0.55,0.1485,0.42
I,0.7815,0.2215,373.0,0.55,0.16,415.0
I,0.7665,0.21,339.0,0.55,176.0,425.0
I,0.5585,0.17,222.0,555.0,0.1245,395.0
I,765.0,206.0,0.3945,555.0,0.15,435.0
I,0.9005,0.2765,0.3845,555.0,158.0,0.46
I,0.8225,236.0,0.3685,0.56,187.0,445.0
I,0.7235,0.2,349.0,0.56,149.0,0.44
M,849.0,0.2645,0.3265,0.56,221.0,425.0
I,743.0,231.0,0.31,565.0,186.0,0.42
F,863.0,0.27,435.0,565.0,149.0,0.44
M,802.0,215.0,0.3595,565.0,0.1825,0.44
M,831.0,219.0,0.4245,565.0,0.1735,0.43
F,0.7805,0.21,0.3345,0.57,185.0,0.45
M,795.0,245.0,0.3385,0.57,148.0,0.45
I,848.0,0.25,0.4,0.57,166.0,435.0
I,833.0,0.2815,354.0,0.57,144.0,0.43
I,867.0,0.28,0.3705,0.57,0.1705,445.0
I,0.7405,0.1825,306.0,0.57,172.0,445.0
M,867.0,268.0,0.3765,575.0,0.1805,455.0
I,0.7965,239.0,364.0,575.0,196.0,425.0
F,1116.0,0.34,509.0,575.0,238.0,0.47
I,0.78,235.0,0.3275,575.0,188.0,0.45
M,985.0,355.0,0.3745,575.0,0.2175,0.47
F,0.9965,0.47,417.0,575.0,247.0,465.0
I,0.8015,0.25,0.3475,575.0,0.1465,445.0
I,807.0,254.0,0.3615,575.0,176.0,0.45
F,1.0305,0.36,0.4605,575.0,218.0,435.0
M,839.0,239.0,0.4005,575.0,198.0,445.0
M,0.9615,275.0,483.0,575.0,166.0,0.44
F,834.0,0.23,428.0,0.58,0.1515,435.0
M,1.0335,295.0,469.0,0.58,0.2225,0.46
M,798.0,0.2285,365.0,0.58,173.0,0.43
I,0.7095,235.0,303.0,0.58,0.1405,445.0
F,913.0,253.0,0.4305,585.0,0.2205,445.0
M,1207.0,309.0,559.0,0.59,235.0,0.49
I,1022.0,265.0,428.0,0.59,268.0,0.45
I,0.9015,0.26,419.0,0.59,0.1785,0.46
F,0.9,265.0,0.4175,595.0,0.17,435.0
M,838.0,217.0,0.3965,595.0,194.0,0.45
M,959.0,0.2535,463.0,595.0,0.2065,0.45
I,0.8335,235.0,377.0,595.0,0.1925,0.46
F,0.9735,0.3,427.0,0.6,0.2045,0.46
F,1.13,305.0,575.0,0.6,196.0,475.0
M,0.9165,0.2725,0.4135,0.6,0.1965,0.48
I,0.9175,0.29,0.38,0.6,0.2225,0.48
F,1.0645,325.0,0.4495,0.6,0.2455,0.48
M,1059.0,275.0,504.0,0.6,241.0,0.47
M,1194.0,0.2635,0.5625,0.6,0.3045,0.47
F,0.9775,275.0,468.0,605.0,0.1775,455.0
M,884.0,0.27,0.3835,605.0,0.1905,475.0
I,0.8025,0.22,379.0,605.0,0.2265,0.47
F,991.0,0.24,0.4735,605.0,0.2345,0.48
F,974.0,0.3345,393.0,605.0,224.0,0.47
F,1434.0,431.0,0.7285,605.0,264.0,505.0
M,983.0,266.0,0.4565,0.61,228.0,475.0
F,1.0725,0.28,0.4835,0.61,0.2515,465.0
F,1.2405,0.3085,0.6025,0.61,0.2915,485.0
M,1022.0,0.2945,449.0,0.61,0.2345,0.47
F,1.1155,379.0,0.3835,0.61,223.0,475.0
I,0.9225,0.26,436.0,0.61,0.19,465.0
M,1.1185,0.31,0.5225,0.61,0.2405,0.47
F,1.2795,355.0,0.5735,0.61,0.2855,485.0
M,1.0175,0.28,473.0,615.0,0.2395,0.47
M,1224.0,311.0,0.6035,615.0,261.0,475.0
I,1154.0,315.0,0.4935,0.62,256.0,485.0
F,1.3255,335.0,0.6685,0.62,0.2605,515.0
M,1221.0,395.0,535.0,0.62,241.0,515.0
F,1139.0,357.0,0.4995,0.62,0.2435,0.54
I,1066.0,305.0,446.0,0.62,246.0,0.49
F,1.2215,313.0,582.0,0.62,0.2695,0.48
I,0.8565,295.0,0.3595,0.62,0.16,0.47
I,924.0,0.2965,358.0,0.62,0.2265,0.45
M,1266.0,309.0,0.6285,0.62,0.2575,0.48
F,1.0405,0.3,464.0,0.62,0.2225,0.48
M,1.1165,0.3325,0.4895,625.0,0.2615,0.49
M,1.0845,0.3105,0.5005,625.0,0.2355,475.0
M,1.0985,354.0,0.4645,625.0,0.22,0.5
I,1.1955,0.3145,643.0,625.0,0.2055,0.47
F,1362.0,0.3705,0.6765,625.0,0.2615,485.0
I,1044.0,278.0,438.0,625.0,0.2865,485.0
M,1.0915,0.3,0.4615,0.63,266.0,505.0
F,1.1965,0.3995,514.0,0.63,0.2325,0.5
M,1.1745,339.0,0.5255,0.63,273.0,0.49
M,1233.0,0.3035,0.6565,0.63,0.2315,485.0
M,1.2695,328.0,605.0,0.63,271.0,495.0
I,1489.0,0.3615,715.0,635.0,0.3445,0.5
M,1.4345,418.0,611.0,635.0,309.0,0.5
F,1.2435,305.0,0.5805,635.0,313.0,0.49
F,1.2615,0.38,0.5385,635.0,0.2665,0.49
F,1.2235,0.36,0.5215,0.64,0.2695,505.0
M,1247.0,0.3685,0.5475,0.64,0.2925,515.0
M,1707.0,0.4435,763.0,0.64,0.4205,525.0
M,1.1605,335.0,519.0,645.0,0.2615,505.0
M,1286.0,386.0,0.5645,645.0,288.0,0.5
M,1.5595,0.3845,741.0,645.0,0.3715,0.5
M,1.4745,0.48,605.0,645.0,345.0,0.51
M,1226.0,0.3745,0.5885,645.0,0.2215,0.51
M,1.33,317.0,0.6665,645.0,309.0,0.51
F,1.2415,315.0,0.5815,645.0,276.0,0.51
M,1.3375,415.0,554.0,645.0,308.0,0.5
F,1363.0,0.36,573.0,645.0,362.0,0.51
M,1.2215,0.33,0.5695,645.0,0.2735,485.0
F,1371.0,0.35,0.6925,645.0,0.2905,0.48
F,1337.0,335.0,615.0,0.65,0.3195,495.0
M,1274.0,391.0,0.59,0.65,0.23,505.0
M,1488.0,378.0,665.0,0.65,337.0,525.0
M,1.3835,0.3665,0.6385,0.65,0.2905,0.51
M,1274.0,365.0,586.0,655.0,281.0,0.55
F,1043.0,305.0,0.4795,655.0,223.0,0.51
F,1.3485,425.0,0.5935,655.0,0.2745,505.0
F,1.4405,363.0,688.0,655.0,0.3805,505.0
M,1.3195,341.0,667.0,0.66,269.0,0.5
F,1.5175,415.0,711.0,0.66,0.3125,535.0
M,1.5505,495.0,0.6505,0.66,0.3295,0.53
M,1.6375,0.3925,0.7685,0.66,0.3545,0.51
M,1443.0,353.0,0.6635,665.0,0.3845,525.0
M,1289.0,0.3665,0.6145,665.0,253.0,505.0
F,1.2915,0.32,631.0,665.0,0.2925,505.0
M,1.3725,395.0,606.0,665.0,0.32,0.52
M,1.2975,315.0,0.6075,665.0,314.0,0.5
M,1.2585,308.0,0.6255,0.67,311.0,505.0
M,1.39,0.3,711.0,0.67,0.2865,0.52
F,1.32,0.4275,0.5235,0.67,0.3095,0.52
F,1566.0,354.0,858.0,0.67,339.0,0.55
F,1619.0,465.0,0.74,0.67,0.3305,0.54
M,1.2835,0.3545,572.0,675.0,0.2755,525.0
F,1382.0,0.3965,0.6045,675.0,0.3175,0.51
M,1.4535,0.4125,592.0,0.68,391.0,0.52
F,1.6075,0.4705,714.0,0.68,339.0,0.51
M,1.3735,0.32,0.7185,685.0,293.0,0.52
F,1638.0,438.0,0.7775,685.0,375.0,565.0
F,1569.0,0.46,687.0,0.69,0.3675,0.55
M,1.8565,0.54,0.8445,0.7,0.3935,565.0
F,1773.0,512.0,0.6805,0.7,0.48,535.0
F,1.58,265.0,0.6435,705.0,0.4565,545.0
M,2009.0,502.0,0.9895,0.71,0.4475,575.0
F,1.9805,0.48,0.9925,0.71,0.4925,0.57
F,1.5805,435.0,802.0,0.71,287.0,0.54
M,2015.0,566.0,0.9215,0.71,454.0,0.56
M,1.8275,485.0,919.0,0.72,366.0,0.57
M,2125.0,511.0,1.1455,0.72,0.4425,0.55
F,1445.0,435.0,631.0,0.72,0.3215,525.0
F,2.1425,503.0,1.03,725.0,487.0,565.0
F,1.9425,0.5655,799.0,0.73,0.5195,0.56
M,1747.0,557.0,0.7275,735.0,403.0,0.59
F,2119.0,482.0,0.9655,0.74,0.5185,565.0
F,1938.0,575.0,0.7735,0.75,0.4825,565.0
M,2.2205,0.63,1083.0,0.75,421.0,595.0
M,2.5155,642.0,1.1155,0.77,0.6415,0.62
M,2.7795,578.0,1.3485,775.0,0.76,0.63
I,0.2315,0.0705,96.0,275.0,57.0,175.0
I,394.0,0.1125,166.0,375.0,91.0,245.0
F,597.0,0.1675,272.0,375.0,131.0,0.27
M,564.0,143.0,0.3035,0.39,0.0955,0.28
I,0.5965,0.1645,259.0,435.0,139.0,0.3
M,414.0,117.0,199.0,445.0,0.09,0.32
I,422.0,0.1,229.0,455.0,0.0865,335.0
I,0.82,211.0,0.4005,455.0,0.1715,325.0
I,434.0,0.1215,207.0,455.0,0.0855,345.0
I,0.7615,209.0,362.0,465.0,0.1535,325.0
M,0.5795,0.12,295.0,465.0,0.1395,0.36
I,0.5205,182.0,195.0,485.0,123.0,365.0
M,968.0,0.2365,419.0,485.0,0.2455,0.37
I,869.0,319.0,0.3085,485.0,185.0,345.0
F,0.8795,0.2825,0.3485,0.49,215.0,355.0
M,1.0615,296.0,494.0,0.5,223.0,0.37
M,0.9225,273.0,0.4185,515.0,198.0,0.35
M,1007.0,252.0,472.0,515.0,0.2495,395.0
M,0.9605,276.0,438.0,525.0,0.2225,365.0
M,0.65,159.0,303.0,525.0,155.0,0.38
M,0.7545,0.2105,0.3495,0.53,0.1715,0.41
F,771.0,0.1795,0.3765,535.0,0.1815,425.0
I,1.0835,304.0,0.4955,535.0,0.2295,385.0
I,0.8935,228.0,0.4235,545.0,0.2195,0.42
F,1358.0,403.0,567.0,545.0,318.0,415.0
F,1.1185,0.2845,0.5425,545.0,0.2445,385.0
F,1205.0,0.3345,543.0,0.55,294.0,0.38
M,1.3405,344.0,0.6325,0.55,311.0,0.42
M,1.02,0.29,0.4805,0.57,0.2145,455.0
M,1025.0,0.2485,0.5075,575.0,0.2245,0.44
I,0.8145,213.0,403.0,575.0,0.1715,0.45
F,1.48,0.4155,0.6535,0.58,324.0,0.43
M,953.0,258.0,0.3945,585.0,0.2685,455.0
I,0.8915,253.0,0.3975,585.0,0.2035,0.45
M,1.3005,0.3285,0.6195,0.6,284.0,495.0
M,1038.0,251.0,0.4975,0.6,0.2205,465.0
M,1.2525,343.0,0.5575,605.0,0.3055,475.0
M,1.15,297.0,575.0,605.0,232.0,475.0
F,1.1135,0.3005,0.5195,0.61,0.2575,475.0
F,1.1155,315.0,0.5045,615.0,238.0,455.0
M,1.0865,0.2565,511.0,0.62,0.2715,0.47
M,1254.0,0.3185,0.5815,625.0,286.0,495.0
M,1169.0,344.0,0.5275,625.0,0.2535,0.49
M,1172.0,0.3475,445.0,635.0,0.3115,495.0
F,1.1845,291.0,533.0,635.0,307.0,475.0
F,1.0725,0.31,0.4895,0.64,0.2295,475.0
M,1.3815,315.0,672.0,645.0,326.0,0.5
M,1.6125,0.3965,777.0,0.65,0.3685,525.0
M,1.7395,0.3075,0.5715,0.65,0.2785,485.0
F,1.5475,466.0,713.0,655.0,314.0,0.52
M,1.4245,378.0,0.6325,655.0,333.0,545.0
F,1.3405,0.4375,0.5595,665.0,293.0,515.0
F,1.4465,389.0,0.6775,675.0,0.33,0.53
F,1.5845,0.4215,0.7175,685.0,0.3775,535.0
F,1679.0,0.3965,805.0,695.0,0.4015,0.55
M,1726.0,455.0,0.7625,695.0,436.0,0.53
F,1.5395,0.4645,0.6075,705.0,0.3675,545.0
F,2073.0,0.5015,1.0715,0.72,0.4265,0.55
M,1.5865,0.4425,691.0,0.72,375.0,0.56
M,2069.0,643.0,0.9285,0.73,409.0,575.0
I,27.0,9.0,0.0105,185.0,0.0055,135.0
I,0.0555,18.0,0.0235,0.24,13.0,0.18
I,0.1275,36.0,0.0565,0.31,0.0275,215.0
I,0.1885,0.06,0.0815,0.34,0.0335,0.26
I,0.2,0.06,0.09,0.35,42.0,265.0
I,197.0,65.0,0.0815,365.0,0.0325,0.27
I,223.0,75.0,98.0,365.0,0.0375,275.0
I,0.2215,0.07,95.0,365.0,0.0445,0.27
I,0.2665,81.0,0.1185,0.39,0.0525,0.31
I,269.0,0.11,103.0,405.0,67.0,0.3
I,0.2805,0.11,114.0,0.41,0.0345,315.0
I,0.3305,105.0,0.1405,0.41,64.0,335.0
I,0.2815,85.0,0.1245,415.0,0.0615,0.31
I,0.2805,0.0975,114.0,415.0,0.0565,0.31
I,311.0,115.0,0.1125,415.0,0.0625,0.31
I,368.0,0.1135,0.1675,0.42,0.0625,325.0
I,0.3405,0.12,0.1395,0.43,0.0665,0.34
I,0.3245,98.0,135.0,435.0,0.0785,335.0
I,0.38,0.11,0.1515,435.0,0.0945,0.33
I,335.0,105.0,156.0,435.0,0.0555,0.33
I,0.3215,0.1185,0.13,435.0,56.0,345.0
I,358.0,0.1185,0.1525,445.0,67.0,0.33
I,445.0,166.0,0.1635,465.0,96.0,0.37
I,487.0,135.0,196.0,0.47,99.0,375.0
I,0.4535,0.1465,203.0,475.0,0.08,0.34
I,568.0,154.0,0.2505,485.0,178.0,385.0
I,0.5155,147.0,0.2465,485.0,0.1025,0.36
I,457.0,0.15,0.1885,485.0,0.0965,0.37
I,0.5095,165.0,0.2065,495.0,0.1165,0.38
I,0.5,0.1505,205.0,495.0,148.0,0.38
I,494.0,191.0,181.0,495.0,0.0975,375.0
I,0.5605,0.15,0.28,0.5,106.0,0.38
I,599.0,225.0,0.2245,505.0,0.1175,405.0
I,0.7045,207.0,334.0,505.0,0.1425,0.4
F,0.7005,195.0,347.0,0.51,0.1105,0.4
I,0.7125,245.0,285.0,515.0,152.0,415.0
I,0.6725,235.0,0.2555,515.0,0.1335,0.42
M,0.5785,0.14,253.0,515.0,0.16,385.0
I,0.5185,184.0,0.2165,0.52,0.0915,0.41
I,0.6375,168.0,308.0,0.52,0.1335,415.0
I,0.5805,165.0,0.2445,0.52,146.0,395.0
I,0.6645,0.1425,0.3285,0.52,0.17,0.38
I,581.0,143.0,0.2555,0.52,156.0,385.0
I,596.0,0.1695,0.2805,525.0,0.12,415.0
I,0.6965,0.21,0.3045,525.0,0.1535,405.0
I,0.6095,175.0,248.0,525.0,159.0,0.4
I,677.0,0.23,298.0,0.53,0.0965,0.43
I,0.7245,0.24,321.0,0.53,0.1275,0.43
I,575.0,183.0,247.0,0.53,115.0,395.0
I,632.0,0.1875,0.2715,0.53,148.0,405.0
I,1.0015,244.0,0.53,535.0,0.1765,455.0
F,0.9455,295.0,0.3675,0.54,0.2005,425.0
I,0.6555,192.0,0.2705,0.54,155.0,395.0
I,0.6255,0.19,0.2525,0.54,158.0,0.39
I,0.8145,244.0,305.0,545.0,231.0,425.0
I,687.0,0.25,0.2615,545.0,0.1405,0.43
I,0.7995,238.0,295.0,0.55,0.1905,435.0
I,804.0,0.23,0.3375,0.55,0.1405,0.45
M,0.7495,214.0,341.0,555.0,0.1645,435.0
M,599.0,194.0,0.2345,555.0,0.1465,0.41
M,0.7075,0.18,332.0,555.0,0.1585,0.4
I,738.0,0.22,304.0,555.0,0.1755,0.45
M,837.0,235.0,382.0,555.0,171.0,455.0
I,832.0,279.0,0.3455,0.56,179.0,445.0
F,0.8305,0.23,0.3135,565.0,0.1785,445.0
M,667.0,185.0,302.0,565.0,0.1545,415.0
M,0.9355,0.26,421.0,565.0,183.0,455.0
I,0.8445,255.0,0.3975,565.0,158.0,435.0
M,895.0,246.0,415.0,565.0,195.0,0.45
I,0.8715,0.25,0.3755,565.0,215.0,0.46
M,1.0005,265.0,454.0,0.57,205.0,0.46
M,832.0,277.0,0.3585,0.57,174.0,455.0
M,0.9415,283.0,0.3805,0.57,0.2285,0.44
M,0.88,238.0,0.4275,0.57,0.1955,415.0
F,803.0,234.0,382.0,0.57,0.1525,0.44
M,785.0,0.2265,318.0,575.0,193.0,0.45
M,0.9765,235.0,495.0,575.0,0.2145,0.45
M,992.0,239.0,432.0,575.0,0.2225,435.0
M,1013.0,295.0,0.4685,575.0,0.2085,455.0
M,876.0,0.27,0.3795,575.0,0.1615,445.0
F,1099.0,0.35,0.4735,575.0,202.0,465.0
I,0.8715,225.0,0.45,575.0,162.0,0.45
I,0.8245,239.0,0.3375,575.0,0.2115,0.45
F,0.7955,0.22,0.3485,575.0,0.1925,0.43
M,857.0,269.0,0.3665,575.0,173.0,475.0
F,0.8265,225.0,0.4035,0.58,173.0,0.45
F,925.0,0.3005,0.37,0.58,185.0,0.5
M,1.0465,0.2795,518.0,0.58,0.2185,0.44
I,0.7905,242.0,0.3525,0.58,0.1645,0.44
M,0.8295,0.2485,0.3365,0.58,0.2005,0.44
M,886.0,223.0,0.4315,595.0,201.0,455.0
F,0.97,264.0,0.4655,0.6,0.1955,0.47
M,1.1805,329.0,456.0,0.6,337.0,0.46
M,0.99,0.3105,386.0,0.6,0.2195,475.0
F,1133.0,298.0,466.0,0.6,0.2885,465.0
I,1071.0,352.0,482.0,605.0,0.1935,0.49
F,862.0,0.3,334.0,605.0,0.1985,455.0
M,1.1155,321.0,479.0,605.0,0.2565,0.47
M,1031.0,0.27,0.4375,0.61,0.2615,0.48
F,1.1185,0.2985,478.0,0.61,0.2945,0.46
F,957.0,265.0,0.4255,0.61,0.1975,0.46
F,1.1785,294.0,566.0,0.61,0.2785,0.47
M,1.0285,285.0,0.4435,615.0,0.2825,0.47
M,1.0875,0.2685,0.4975,615.0,283.0,0.47
F,1255.0,0.3225,0.5815,615.0,0.3195,495.0
M,1219.0,0.3885,564.0,615.0,227.0,495.0
M,1035.0,285.0,0.44,0.62,0.2525,0.49
M,1195.0,355.0,0.4605,0.62,302.0,0.49
F,1062.0,0.34,372.0,0.62,213.0,495.0
M,1.5145,0.5195,579.0,0.62,346.0,495.0
M,1309.0,325.0,587.0,0.62,0.4405,0.47
M,1.0295,335.0,425.0,0.62,0.2315,485.0
M,1.0485,0.3215,487.0,625.0,212.0,495.0
M,1331.0,361.0,0.5725,625.0,0.3005,515.0
M,1.1565,0.3535,0.52,625.0,0.2405,505.0
F,1.09,304.0,0.46,625.0,0.2965,445.0
F,1354.0,375.0,0.4845,625.0,351.0,0.52
F,984.0,265.0,475.0,625.0,0.2,0.47
M,1.2525,289.0,0.63,0.63,246.0,0.49
F,1.2695,0.3395,0.5635,635.0,0.3065,485.0
F,1.3405,412.0,0.5065,635.0,296.0,0.52
F,1.2895,345.0,594.0,635.0,314.0,505.0
M,1195.0,335.0,0.5435,635.0,246.0,525.0
M,1273.0,365.0,0.6535,635.0,213.0,0.5
M,1229.0,0.3535,0.5055,635.0,0.2975,515.0
M,1.1895,0.35,0.4765,0.64,0.3,0.53
F,1.1145,0.34,508.0,0.64,0.24,0.48
F,1.3115,0.41,0.4945,0.64,0.2555,515.0
I,1.1,0.2925,488.0,0.64,0.2505,0.49
M,1.1285,0.34,477.0,0.64,269.0,0.49
F,1.4195,0.3255,0.6735,0.64,0.3465,485.0
F,1.6195,0.4675,0.7815,645.0,322.0,0.51
M,1.32,0.3385,0.6525,645.0,0.2375,0.49
F,1.5535,474.0,616.0,645.0,0.3655,0.52
I,1238.0,0.3305,0.5495,0.65,296.0,0.52
F,1189.0,0.3645,483.0,0.65,278.0,0.51
F,1375.0,0.3985,531.0,0.65,384.0,0.51
F,1412.0,497.0,0.6195,655.0,0.2485,515.0
F,1348.0,394.0,0.5855,655.0,0.2605,525.0
M,1.1445,348.0,0.53,655.0,223.0,0.52
F,1.4415,0.49,0.5925,0.66,0.2775,535.0
M,1218.0,0.37,0.5055,0.66,303.0,0.51
F,1.2475,0.3595,0.4625,665.0,0.2955,0.5
M,1.2695,436.0,0.5115,665.0,0.2675,515.0
M,1429.0,0.4,0.6715,665.0,0.29,525.0
F,1.4015,416.0,643.0,0.67,0.2465,0.53
M,1312.0,0.4115,556.0,675.0,0.2845,515.0
F,1473.0,0.4245,0.6295,675.0,0.3025,0.51
M,1623.0,0.4715,0.7165,0.68,354.0,0.54
M,1534.0,384.0,671.0,0.68,379.0,0.54
M,1.3845,0.4075,0.6615,685.0,0.2145,535.0
M,1.6915,0.5,0.6655,0.69,402.0,0.55
M,1.5715,0.4505,0.6645,695.0,0.3835,545.0
F,1773.0,538.0,605.0,0.7,447.0,575.0
M,1.4405,375.0,0.6565,0.7,0.2985,0.55
M,1.6245,535.0,675.0,0.7,347.0,0.55
F,1866.0,0.4395,929.0,705.0,0.3835,535.0
F,1.6705,501.0,732.0,0.72,0.3605,575.0
M,2081.0,503.0,1.0815,0.72,0.4305,565.0
F,1.6195,488.0,744.0,725.0,315.0,0.57
F,1.8325,0.44,0.83,0.75,366.0,0.55
M,2173.0,646.0,801.0,0.76,0.4915,605.0
I,29.0,8.0,0.0125,135.0,0.0065,0.13
I,0.0195,6.0,0.0075,0.16,5.0,0.11
I,0.0465,15.0,17.0,0.21,12.0,0.15
I,0.1195,0.03,53.0,0.28,0.0265,0.21
I,0.0895,0.03,36.0,0.28,0.0185,0.2
I,0.0935,0.03,31.0,285.0,23.0,215.0
I,0.1115,0.03,48.0,0.29,0.0205,0.21
I,0.1195,0.03,56.0,0.29,0.0235,0.21
I,97.0,0.03,0.0375,0.29,22.0,0.21
I,133.0,41.0,0.0585,0.32,0.0255,0.24
I,0.1745,0.04,0.0875,325.0,0.0355,0.25
I,0.1695,0.0495,0.0695,335.0,44.0,0.25
I,0.17,0.0495,0.0725,0.35,0.0465,235.0
I,0.1605,46.0,0.0715,0.35,0.0335,0.25
I,271.0,0.0735,0.1425,355.0,0.0525,0.27
I,0.2185,62.0,0.1065,0.36,38.0,0.27
I,196.0,53.0,0.0905,0.36,34.0,0.27
I,226.0,65.0,105.0,375.0,47.0,0.28
I,0.22,0.0605,109.0,375.0,0.05,275.0
I,0.3,78.0,158.0,395.0,68.0,0.29
